period,region,ons_deaths
2021-01-01,E12000003,5986
2021-02-01,E12000003,5056
2021-01-01,E12000004,5720
2021-02-01,E12000004,5195
2021-01-01,E12000005,7577
2021-02-01,E12000005,6450
2021-01-01,E12000006,9015
2021-02-01,E12000006,6985
2021-01-01,E12000007,9271
2021-02-01,E12000007,6071
2021-01-01,E12000008,12721
2021-02-01,E12000008,9409
2021-01-01,E12000009,6636
2021-02-01,E12000009,5781
