period,sex,ons_deaths
2021-02-01,M,28191
2021-02-01,F,27294
2021-01-01,M,34895
2021-01-01,F,33895
2020-12-01,M,26971
2020-12-01,F,25689
2020-11-01,M,24802
2020-11-01,F,23100
2020-10-01,M,21967
2020-10-01,F,21283
2020-09-01,M,20232
2020-09-01,F,19586
2020-08-01,M,17567
2020-08-01,F,17185
2020-07-01,M,19317
2020-07-01,F,18865
2020-06-01,M,20049
2020-06-01,F,19832
2020-05-01,M,24441
2020-05-01,F,24964
2020-04-01,M,43236
2020-04-01,F,40258
2020-03-01,M,23642
2020-03-01,F,22868
2020-02-01,M,20346
2020-02-01,F,20457
2020-01-01,M,26172
2020-01-01,F,26871
2019-12-01,M,21576
2019-12-01,F,22710
2019-11-01,M,21108
2019-11-01,F,21172
2019-10-01,M,21581
2019-10-01,F,21676
2019-09-01,M,18889
2019-09-01,F,18573
2019-08-01,M,18418
2019-08-01,F,17853
2019-07-01,M,19927
2019-07-01,F,19687
2019-06-01,M,18516
2019-06-01,F,17664
2019-05-01,M,20641
2019-05-01,F,20863
2019-04-01,M,20637
2019-04-01,F,20530
2019-03-01,M,20498
2019-03-01,F,20619
